startTime,generation
2024-01-01 00:00:00+00:00,10402
2024-01-01 00:30:00+00:00,10845
2024-01-01 01:00:00+00:00,11218
2024-01-01 01:30:00+00:00,11223
2024-01-01 02:00:00+00:00,11234
2024-01-01 02:30:00+00:00,11437
2024-01-01 03:00:00+00:00,11434
2024-01-01 03:30:00+00:00,11445
2024-01-01 04:00:00+00:00,11828
2024-01-01 04:30:00+00:00,11878
2024-01-01 05:00:00+00:00,12037
2024-01-01 05:30:00+00:00,12011
2024-01-01 06:00:00+00:00,12044
2024-01-01 06:30:00+00:00,12183
2024-01-01 07:00:00+00:00,12303
2024-01-01 07:30:00+00:00,12307
2024-01-01 08:00:00+00:00,12361
2024-01-01 08:30:00+00:00,12218
2024-01-01 09:00:00+00:00,12017
2024-01-01 09:30:00+00:00,11817
2024-01-01 10:00:00+00:00,11379
2024-01-01 10:30:00+00:00,10932
2024-01-01 11:00:00+00:00,10679
2024-01-01 11:30:00+00:00,10217
2024-01-01 12:00:00+00:00,9828
2024-01-01 12:30:00+00:00,9548
2024-01-01 13:00:00+00:00,8874
2024-01-01 13:30:00+00:00,8495
2024-01-01 14:00:00+00:00,8058
2024-01-01 14:30:00+00:00,8098
2024-01-01 15:00:00+00:00,8162
2024-01-01 15:30:00+00:00,8058
2024-01-01 16:00:00+00:00,8634
2024-01-01 16:30:00+00:00,9091
2024-01-01 17:00:00+00:00,9204
2024-01-01 17:30:00+00:00,9290
2024-01-01 18:00:00+00:00,9665
2024-01-01 18:30:00+00:00,10443
2024-01-01 19:00:00+00:00,11212
2024-01-01 19:30:00+00:00,12055
2024-01-01 20:00:00+00:00,12519
2024-01-01 20:30:00+00:00,13279
2024-01-01 21:00:00+00:00,13953
2024-01-01 21:30:00+00:00,13845
2024-01-01 22:00:00+00:00,14217
2024-01-01 22:30:00+00:00,14306
2024-01-01 23:00:00+00:00,14958
2024-01-01 23:30:00+00:00,14666
2024-01-02 00:00:00+00:00,14690
2024-01-02 00:30:00+00:00,14510
2024-01-02 01:00:00+00:00,14592
2024-01-02 01:30:00+00:00,14388
2024-01-02 02:00:00+00:00,14032
2024-01-02 02:30:00+00:00,13748
2024-01-02 03:00:00+00:00,13403
2024-01-02 03:30:00+00:00,13232
2024-01-02 04:00:00+00:00,13245
2024-01-02 04:30:00+00:00,13041
2024-01-02 05:00:00+00:00,12635
2024-01-02 05:30:00+00:00,12711
2024-01-02 06:00:00+00:00,12764
2024-01-02 06:30:00+00:00,12323
2024-01-02 07:00:00+00:00,11925
2024-01-02 07:30:00+00:00,11711
2024-01-02 08:00:00+00:00,11866
2024-01-02 08:30:00+00:00,12035
2024-01-02 09:00:00+00:00,11505
2024-01-02 09:30:00+00:00,10760
2024-01-02 10:00:00+00:00,10399
2024-01-02 10:30:00+00:00,9546
2024-01-02 11:00:00+00:00,8795
2024-01-02 11:30:00+00:00,8667
2024-01-02 12:00:00+00:00,8281
2024-01-02 12:30:00+00:00,7557
2024-01-02 13:00:00+00:00,7344
2024-01-02 13:30:00+00:00,7180
2024-01-02 14:00:00+00:00,7249
2024-01-02 14:30:00+00:00,7672
2024-01-02 15:00:00+00:00,7870
2024-01-02 15:30:00+00:00,8115
2024-01-02 16:00:00+00:00,8208
2024-01-02 16:30:00+00:00,8935
2024-01-02 17:00:00+00:00,9635
2024-01-02 17:30:00+00:00,9771
2024-01-02 18:00:00+00:00,10183
2024-01-02 18:30:00+00:00,10043
2024-01-02 19:00:00+00:00,9919
2024-01-02 19:30:00+00:00,10271
2024-01-02 20:00:00+00:00,11051
2024-01-02 20:30:00+00:00,11338
2024-01-02 21:00:00+00:00,11263
2024-01-02 21:30:00+00:00,11467
2024-01-02 22:00:00+00:00,11480
2024-01-02 22:30:00+00:00,11364
2024-01-02 23:00:00+00:00,10992
2024-01-02 23:30:00+00:00,10922
2024-01-03 00:00:00+00:00,10672
2024-01-03 00:30:00+00:00,10530
2024-01-03 01:00:00+00:00,10293
2024-01-03 01:30:00+00:00,10418
2024-01-03 02:00:00+00:00,10226
2024-01-03 02:30:00+00:00,9940
2024-01-03 03:00:00+00:00,10059
2024-01-03 03:30:00+00:00,9889
2024-01-03 04:00:00+00:00,9599
2024-01-03 04:30:00+00:00,9680
2024-01-03 05:00:00+00:00,9463
2024-01-03 05:30:00+00:00,9484
2024-01-03 06:00:00+00:00,9387
2024-01-03 06:30:00+00:00,9326
2024-01-03 07:00:00+00:00,8927
2024-01-03 07:30:00+00:00,8565
2024-01-03 08:00:00+00:00,8396
2024-01-03 08:30:00+00:00,7841
2024-01-03 09:00:00+00:00,7245
2024-01-03 09:30:00+00:00,6934
2024-01-03 10:00:00+00:00,6794
2024-01-03 10:30:00+00:00,6620
2024-01-03 11:00:00+00:00,6484
2024-01-03 11:30:00+00:00,6258
2024-01-03 12:00:00+00:00,6200
2024-01-03 12:30:00+00:00,6088
2024-01-03 13:00:00+00:00,5823
2024-01-03 13:30:00+00:00,5825
2024-01-03 14:00:00+00:00,5928
2024-01-03 14:30:00+00:00,5826
2024-01-03 15:00:00+00:00,6052
2024-01-03 15:30:00+00:00,6367
2024-01-03 16:00:00+00:00,6591
2024-01-03 16:30:00+00:00,6805
2024-01-03 17:00:00+00:00,7044
2024-01-03 17:30:00+00:00,7119
2024-01-03 18:00:00+00:00,7192
2024-01-03 18:30:00+00:00,7171
2024-01-03 19:00:00+00:00,7131
2024-01-03 19:30:00+00:00,7150
2024-01-03 20:00:00+00:00,7039
2024-01-03 20:30:00+00:00,7005
2024-01-03 21:00:00+00:00,6945
2024-01-03 21:30:00+00:00,6773
2024-01-03 22:00:00+00:00,6611
2024-01-03 22:30:00+00:00,6680
2024-01-03 23:00:00+00:00,6813
2024-01-03 23:30:00+00:00,6793
2024-01-04 00:00:00+00:00,7112
2024-01-04 00:30:00+00:00,7536
2024-01-04 01:00:00+00:00,7743
2024-01-04 01:30:00+00:00,8071
2024-01-04 02:00:00+00:00,8269
2024-01-04 02:30:00+00:00,8255
2024-01-04 03:00:00+00:00,8118
2024-01-04 03:30:00+00:00,7866
2024-01-04 04:00:00+00:00,7666
2024-01-04 04:30:00+00:00,7708
2024-01-04 05:00:00+00:00,7859
2024-01-04 05:30:00+00:00,8218
2024-01-04 06:00:00+00:00,8359
2024-01-04 06:30:00+00:00,8212
2024-01-04 07:00:00+00:00,7815
2024-01-04 07:30:00+00:00,7266
2024-01-04 08:00:00+00:00,6880
2024-01-04 08:30:00+00:00,6898
2024-01-04 09:00:00+00:00,6841
2024-01-04 09:30:00+00:00,6731
2024-01-04 10:00:00+00:00,6394
2024-01-04 10:30:00+00:00,6032
2024-01-04 11:00:00+00:00,5193
2024-01-04 11:30:00+00:00,4691
2024-01-04 12:00:00+00:00,4421
2024-01-04 12:30:00+00:00,4091
2024-01-04 13:00:00+00:00,3544
2024-01-04 13:30:00+00:00,3291
2024-01-04 14:00:00+00:00,3394
2024-01-04 14:30:00+00:00,3168
2024-01-04 15:00:00+00:00,2988
2024-01-04 15:30:00+00:00,3004
2024-01-04 16:00:00+00:00,3039
2024-01-04 16:30:00+00:00,3074
2024-01-04 17:00:00+00:00,3204
2024-01-04 17:30:00+00:00,3277
2024-01-04 18:00:00+00:00,3862
2024-01-04 18:30:00+00:00,4177
2024-01-04 19:00:00+00:00,4459
2024-01-04 19:30:00+00:00,4669
2024-01-04 20:00:00+00:00,4751
2024-01-04 20:30:00+00:00,5048
2024-01-04 21:00:00+00:00,5331
2024-01-04 21:30:00+00:00,5361
2024-01-04 22:00:00+00:00,5052
2024-01-04 22:30:00+00:00,5148
2024-01-04 23:00:00+00:00,5263
2024-01-04 23:30:00+00:00,5428
2024-01-05 00:00:00+00:00,5740
2024-01-05 00:30:00+00:00,5799
2024-01-05 01:00:00+00:00,5813
2024-01-05 01:30:00+00:00,6007
2024-01-05 02:00:00+00:00,5990
2024-01-05 02:30:00+00:00,6535
2024-01-05 03:00:00+00:00,6547
2024-01-05 03:30:00+00:00,6637
2024-01-05 04:00:00+00:00,6416
2024-01-05 04:30:00+00:00,6393
2024-01-05 05:00:00+00:00,6485
2024-01-05 05:30:00+00:00,7266
2024-01-05 06:00:00+00:00,7916
2024-01-05 06:30:00+00:00,8154
2024-01-05 07:00:00+00:00,8250
2024-01-05 07:30:00+00:00,8265
2024-01-05 08:00:00+00:00,8316
2024-01-05 08:30:00+00:00,8672
2024-01-05 09:00:00+00:00,8545
2024-01-05 09:30:00+00:00,8173
2024-01-05 10:00:00+00:00,8007
2024-01-05 10:30:00+00:00,7973
2024-01-05 11:00:00+00:00,8164
2024-01-05 11:30:00+00:00,8430
2024-01-05 12:00:00+00:00,8539
2024-01-05 12:30:00+00:00,8670
2024-01-05 13:00:00+00:00,8724
2024-01-05 13:30:00+00:00,8771
2024-01-05 14:00:00+00:00,8984
2024-01-05 14:30:00+00:00,8839
2024-01-05 15:00:00+00:00,8657
2024-01-05 15:30:00+00:00,8476
2024-01-05 16:00:00+00:00,8416
2024-01-05 16:30:00+00:00,8259
2024-01-05 17:00:00+00:00,7986
2024-01-05 17:30:00+00:00,7852
2024-01-05 18:00:00+00:00,7790
2024-01-05 18:30:00+00:00,7484
2024-01-05 19:00:00+00:00,7236
2024-01-05 19:30:00+00:00,7284
2024-01-05 20:00:00+00:00,7104
2024-01-05 20:30:00+00:00,6659
2024-01-05 21:00:00+00:00,6579
2024-01-05 21:30:00+00:00,6555
2024-01-05 22:00:00+00:00,6280
2024-01-05 22:30:00+00:00,6020
2024-01-05 23:00:00+00:00,5845
2024-01-05 23:30:00+00:00,5746
2024-01-06 00:00:00+00:00,5741
2024-01-06 00:30:00+00:00,5860
2024-01-06 01:00:00+00:00,5877
2024-01-06 01:30:00+00:00,6004
2024-01-06 02:00:00+00:00,6107
2024-01-06 02:30:00+00:00,6127
2024-01-06 03:00:00+00:00,6074
2024-01-06 03:30:00+00:00,5968
2024-01-06 04:00:00+00:00,5871
2024-01-06 04:30:00+00:00,5784
2024-01-06 05:00:00+00:00,5734
2024-01-06 05:30:00+00:00,5687
2024-01-06 06:00:00+00:00,5712
2024-01-06 06:30:00+00:00,5868
2024-01-06 07:00:00+00:00,6033
2024-01-06 07:30:00+00:00,5887
2024-01-06 08:00:00+00:00,5771
2024-01-06 08:30:00+00:00,5610
2024-01-06 09:00:00+00:00,5244
2024-01-06 09:30:00+00:00,5113
2024-01-06 10:00:00+00:00,4940
2024-01-06 10:30:00+00:00,4782
2024-01-06 11:00:00+00:00,4696
2024-01-06 11:30:00+00:00,4599
2024-01-06 12:00:00+00:00,4362
2024-01-06 12:30:00+00:00,4529
2024-01-06 13:00:00+00:00,4591
2024-01-06 13:30:00+00:00,4683
2024-01-06 14:00:00+00:00,4539
2024-01-06 14:30:00+00:00,4613
2024-01-06 15:00:00+00:00,4631
2024-01-06 15:30:00+00:00,4864
2024-01-06 16:00:00+00:00,5248
2024-01-06 16:30:00+00:00,5194
2024-01-06 17:00:00+00:00,5212
2024-01-06 17:30:00+00:00,5203
2024-01-06 18:00:00+00:00,5050
2024-01-06 18:30:00+00:00,4778
2024-01-06 19:00:00+00:00,4878
2024-01-06 19:30:00+00:00,4946
2024-01-06 20:00:00+00:00,5132
2024-01-06 20:30:00+00:00,4911
2024-01-06 21:00:00+00:00,4916
2024-01-06 21:30:00+00:00,4906
2024-01-06 22:00:00+00:00,5090
2024-01-06 22:30:00+00:00,5275
2024-01-06 23:00:00+00:00,5175
2024-01-06 23:30:00+00:00,5390
2024-01-07 00:00:00+00:00,5708
2024-01-07 00:30:00+00:00,5552
2024-01-07 01:00:00+00:00,5803
2024-01-07 01:30:00+00:00,5946
2024-01-07 02:00:00+00:00,5904
2024-01-07 02:30:00+00:00,5770
2024-01-07 03:00:00+00:00,5881
2024-01-07 03:30:00+00:00,6176
2024-01-07 04:00:00+00:00,6342
2024-01-07 04:30:00+00:00,6066
2024-01-07 05:00:00+00:00,6290
2024-01-07 05:30:00+00:00,6434
2024-01-07 06:00:00+00:00,6402
2024-01-07 06:30:00+00:00,6440
2024-01-07 07:00:00+00:00,6138
2024-01-07 07:30:00+00:00,6109
2024-01-07 08:00:00+00:00,6044
2024-01-07 08:30:00+00:00,5612
2024-01-07 09:00:00+00:00,5549
2024-01-07 09:30:00+00:00,5385
2024-01-07 10:00:00+00:00,5311
2024-01-07 10:30:00+00:00,5015
2024-01-07 11:00:00+00:00,4848
